CLW,NLIFT,NDRAG,NPM,NYM,NRM,NSF
-3.8,-0.149,0.341,-3.278,0,0,0
-2,-0.149,0.207,-1.65,0,0,0
-1.5,-0.149,0.17,-1.2,0,0,0
-1,-0.149,0.132,-0.77,0,0,0
-0.9,-0.149,0.123,-0.69,0,0,0
-0.8,-0.149,0.115,-0.62,0,0,0
-0.7,-0.149,0.106,-0.55,0,0,0
-0.6,-0.149,0.098,-0.48,0,0,0
-0.5,-0.149,0.089,-0.41,0,0,0
-0.4,-0.149,0.08,-0.35,0,0,0
-0.3,-0.149,0.071,-0.3,0,0,0
-0.2,-0.149,0.063,-0.26,0,0,0
-0.1,-0.149,0.056,-0.22,0,0,0
0,-0.149,0.052,-0.19,0,0,0
0.1,-0.149,0.047,-0.16,0,0,0
0.2,-0.149,0.045,-0.14,0,0,0
0.4,-0.149,0.041,-0.1,0,0,0
0.6,-0.149,0.036,-0.06,0,0,0
1.4,-0.149,0.032,0.05,0,0,0
3.8,-0.149,0.03,0.24,0,0,0
