'CODE,TP,AlphaENC,Psi,QNOM,QA,LIFTR_o,DRAGR_o,PMR_o,YMR_o,RMR_o,SFR_o,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PRESSTS,TEMPTS,Fouling,Time
0,1,-4.043,0,35,34.69,-82.75,8.8767,-63.6081,8.4318,-22.6958,-0.4017,-82.844,8.905,-63.493,8.622,-20.376,-0.404,14.693,63.816,0,35:31.8
0,2,-2.001,0,35,35.052,-28.0976,7.9683,-55.377,9.3406,-31.3954,-0.4278,-28.141,7.991,-55.158,9.679,-30.05,-0.416,14.696,63.853,0,35:44.5
0,3,-0.012,0,35,34.994,27.4613,7.8144,-50.5158,8.065,-27.7266,0.041,27.443,7.84,-50.37,8.365,-26.397,0.023,14.696,63.843,0,35:57.1
0,4,1.994,0,35,35.061,84.4949,8.4729,-47.6332,7.7281,-11.7515,0.1012,84.493,8.503,-47.513,7.968,-10.436,0.09,14.697,63.907,0,36:09.7
0,5,3.985,0,35,35.191,141.8979,9.8337,-45.0505,8.3314,-17.0143,-0.7421,141.908,9.862,-45.03,8.523,-16.588,-0.744,14.697,63.956,0,36:22.4
0,6,6.056,0,35,34.904,198.5405,11.9256,-43.187,6.7102,-22.7601,-2.4854,198.549,11.949,-43.14,6.996,-21.355,-2.511,14.698,63.995,0,36:35.1
0,7,8.007,0,35,34.969,252.695,14.5653,-41.5067,7.1386,-14.2442,-3.1024,252.673,14.591,-41.509,7.445,-12.398,-3.117,14.698,64.025,0,36:47.7
0,8,9.983,0,35,35.055,306.306,17.8638,-39.3167,4.4902,-6.7287,-1.8499,306.266,17.888,-39.316,4.64,-5.814,-1.866,14.699,64.083,0,37:00.4
0,9,10.97,0,35,35.034,331.1445,19.845,-39.6432,6.0208,-1.8663,-4.5571,331.111,19.862,-39.674,6.13,-1.031,-4.562,14.699,64.124,0,37:12.3
0,10,12.02,0,35,34.899,356.3819,21.803,-36.1879,5.2608,-3.4264,-4.2006,356.344,21.82,-36.175,5.414,-2.59,-4.205,14.7,64.164,0,37:24.3
0,11,12.966,0,35,34.878,377.7433,23.8756,-32.4187,5.601,12.8355,-3.516,377.691,23.88,-32.431,6.151,15.826,-3.555,14.7,64.202,0,37:36.2
0,12,14.001,0,35,34.749,398.2601,26.2168,-27.0493,5.1788,17.9101,-3.0435,398.268,26.222,-27.091,5.478,19.765,-3.039,14.7,64.248,0,37:48.1
0,13,15.006,0,35,34.717,416.5869,28.6938,-21.8117,5.0271,21.5127,-2.8831,416.557,28.709,-21.872,5.247,23.23,-2.897,14.7,64.271,0,38:00.1
0,14,16.024,0,35,34.527,383.3068,40.636,-139.4948,5.3763,6.9727,-3.1007,383.276,40.651,-139.295,5.886,11.528,-3.122,14.701,64.306,0,38:12.1
0,15,16.978,0,35,34.86,369.176,48.3772,-200.8453,5.3848,8.1837,-2.8282,368.414,48.449,-202.112,4.717,2.087,-2.843,14.701,64.371,0,38:24.0
0,16,18.034,0,35,34.762,346.7016,55.1297,-251.3653,-10.2096,-158.2,-3.3549,346.682,55.117,-251.175,-10.162,-155.36,-3.375,14.702,64.397,0,38:35.9
0,17,18.999,0,35,35.151,333.798,61.9135,-295.7569,2.8899,28.2852,-2.3849,333.761,61.885,-295.396,2.63,24.288,-2.418,14.702,64.463,0,38:47.8
0,18,19.999,0,35,34.695,315.5846,66.6954,-323.9455,3.5989,62.1699,-1.9939,315.618,66.711,-323.896,4.005,66.382,-2.015,14.703,64.502,0,38:59.8
0,19,19.013,0,35,34.891,329.7395,61.7392,-297.4159,7.0068,54.8456,-2.5171,329.8,61.765,-297.35,6.792,49.896,-2.537,14.702,64.558,0,39:11.7
0,20,17.987,0,35,35.38,354.4906,55.7224,-251.0722,-2.2543,-110.1996,-3.086,354.522,55.7,-250.606,-0.956,-98.155,-3.065,14.702,64.607,0,39:23.7
0,21,17.046,0,35,35.257,369.9712,49.6597,-210.5166,-10.9177,-108.2268,-3.2857,369.566,49.691,-210.932,-11.989,-117.465,-3.31,14.702,64.679,0,39:35.6
0,22,15.952,0,35,35.347,392.0455,41.5392,-141.4065,5.6712,20.8211,-3.0203,392.02,41.549,-141.289,5.869,22.04,-3.045,14.701,64.707,0,39:47.6
0,23,15.042,0,35,35.524,427.1565,29.5577,-22.1733,5.619,25.5097,-2.7165,426.972,29.574,-22.149,5.852,27.038,-2.729,14.7,64.737,0,40:02.4
0,24,13.989,0,35,35.074,402.0641,26.5098,-27.0836,4.3397,14.9518,-3.0693,402.012,26.529,-27.103,4.511,16.876,-3.077,14.7,64.744,0,40:14.4
0,25,13.001,0,35,35.105,381.5308,24.1095,-31.8043,4.2442,6.0326,-3.3755,381.472,24.132,-31.869,4.552,7.927,-3.382,14.699,64.768,0,40:26.5
0,26,12.016,0,35,35.145,358.5466,22.0491,-35.9537,5.803,10.4703,-3.95,358.471,22.083,-36.017,5.994,11.819,-3.97,14.699,64.807,0,40:38.4
0,27,10.998,0,35,35.229,334.3568,19.9623,-39.045,5.8752,-2.7382,-4.4192,334.312,19.994,-39.137,6.104,-1.357,-4.435,14.699,64.817,0,40:50.4
0,28,9.99,0,35,35.27,308.7254,17.9947,-38.8943,4.418,-5.444,-1.7187,308.68,18.032,-38.993,4.719,-3.472,-1.738,14.698,64.838,0,41:02.3
6,29,15.76,0,10,0.222,1.5754,0.4898,-12.2656,-0.423,-2.6605,-0.0003,1.564,0.506,-12.234,-0.209,-1.091,-0.009,14.689,64.437,0,42:34.8
